Station;Ligne;Corresp. 1;Corresp. 2;Corresp. 3;Sens;Terminus 1;Terminus 2;Lat;Lon;Geopoint;Geopoint2;
Balbuena;1;0;0;0;16;Observatorio;Pantitlán;19.42288725;-99.10281658;19.42288725,-99.10281658;-99.10281658,19.42288725;
Balderas;1;3;0;0;8;Observatorio;Pantitlán;19.42692438;-99.1488111;19.42692438,-99.1488111;-99.1488111,19.42692438;
Blvd. Puerto Aéreo;1;0;0;0;17;Observatorio;Pantitlán;19.41958866;-99.09606814;19.41958866,-99.09606814;-99.09606814,19.41958866;
Candelaria;1;4;0;0;13;Observatorio;Pantitlán;19.42917056;-99.11890984;19.42917056,-99.11890984;-99.11890984,19.42917056;
Chapultepec;1;0;0;0;4;Observatorio;Pantitlán;19.42025648;-99.17658806;19.42025648,-99.17658806;-99.17658806,19.42025648;
Cuauhtémoc;1;0;0;0;7;Observatorio;Pantitlán;19.42565962;-99.15455103;19.42565962,-99.15455103;-99.15455103,19.42565962;
Gómez Farías;1;0;0;0;18;Observatorio;Pantitlán;19.41608763;-99.09070373;19.41608763,-99.09070373;-99.09070373,19.41608763;
Insurgentes;1;0;0;0;6;Observatorio;Pantitlán;19.42359552;-99.16325212;19.42359552,-99.16325212;-99.16325212,19.42359552;
Isabel la Católica ;1;0;0;0;10;Observatorio;Pantitlán;19.4260947;-99.13782477;19.4260947,-99.13782477;-99.13782477,19.4260947;
Juanacatlán;1;0;0;0;3;Observatorio;Pantitlán;19.41290022;-99.18207049;19.41290022,-99.18207049;-99.18207049,19.41290022;
Merced;1;0;0;0;12;Observatorio;Pantitlán;19.42546738;-99.12541151;19.42546738,-99.12541151;-99.12541151,19.42546738;
Moctezuma;1;0;0;0;15;Observatorio;Pantitlán;19.426271;-99.109803;19.426271,-99.109803;-99.109803,19.426271;
Observatorio;1;0;0;0;1;Observatorio;Pantitlán;19.397486;-99.200669;19.397486,-99.200669;-99.200669,19.397486;
Pantitlán;1;5;9;11;20;Observatorio;Pantitlán;19.4146103;-99.07262564;19.4146103,-99.07262564;-99.07262564,19.4146103;
Pino Suárez;1;2;0;0;11;Observatorio;Pantitlán;19.42543703;-99.13303971;19.42543703,-99.13303971;-99.13303971,19.42543703;
Salto del Agua;1;8;0;0;9;Observatorio;Pantitlán;19.42720768;-99.14207339;19.42720768,-99.14207339;-99.14207339,19.42720768;
San Lázaro;1;12;0;0;14;Observatorio;Pantitlán;19.431822;-99.114463;19.431822,-99.114463;-99.114463,19.431822;
Sevilla;1;0;0;0;5;Observatorio;Pantitlán;19.42189565;-99.17074084;19.42189565,-99.17074084;-99.17074084,19.42189565;
Tacubaya;1;7;9;0;2;Observatorio;Pantitlán;19.40192086;-99.18734908;19.40192086,-99.18734908;-99.18734908,19.40192086;
Zaragoza;1;0;0;0;19;Observatorio;Pantitlán;19.41179726;-99.08322573;19.41179726,-99.08322573;-99.08322573,19.41179726;
Allende;2;0;0;0;12;Cuatro Caminos;Tasqueña;19.43547387;-99.13670897;19.43547387,-99.13670897;-99.13670897,19.43547387;
Bellas Artes;2;8;0;0;11;Cuatro Caminos;Tasqueña;19.43649573;-99.14061427;19.43649573,-99.14061427;-99.14061427,19.43649573;
Chabacano;2;8;9;0;16;Cuatro Caminos;Tasqueña;19.408513;-99.135489;19.408513,-99.135489;-99.135489,19.408513;
Colegio Militar;2;0;0;0;6;Cuatro Caminos;Tasqueña;19.44864628;-99.17122364;19.44864628,-99.17122364;-99.17122364,19.44864628;
Cuatro Caminos;2;0;0;0;1;Cuatro Caminos;Tasqueña;19.458454;-99.214643;19.458454,-99.214643;-99.214643,19.458454;
Cuitláhuac;2;0;0;0;4;Cuatro Caminos;Tasqueña;19.45668;-99.181555;19.45668,-99.181555;-99.181555,19.45668;
Ermita;2;10;0;0;22;Cuatro Caminos;Tasqueña;19.36030391;-99.1448307;19.36030391,-99.1448307;-99.1448307,19.36030391;
General Anaya;2;0;0;0;23;Cuatro Caminos;Tasqueña;19.35319801;-99.14478779;19.35319801,-99.14478779;-99.14478779,19.35319801;
Hidalgo;2;3;0;0;10;Cuatro Caminos;Tasqueña;19.43674867;-99.14681554;19.43674867,-99.14681554;-99.14681554,19.43674867;
Nativitas;2;0;0;0;20;Cuatro Caminos;Tasqueña;19.37938304;-99.13987398;19.37938304,-99.13987398;-99.13987398,19.37938304;
Normal;2;0;0;0;7;Cuatro Caminos;Tasqueña;19.44424548;-99.1671896;19.44424548,-99.1671896;-99.1671896,19.44424548;
Panteones;2;0;0;0;2;Cuatro Caminos;Tasqueña;19.458219;-99.20294;19.458219,-99.20294;-99.20294,19.458219;
Pino Suárez;2;1;0;0;14;Cuatro Caminos;Tasqueña;19.42543703;-99.13303971;19.42543703,-99.13303971;-99.13303971,19.42543703;
Popotla;2;0;0;0;5;Cuatro Caminos;Tasqueña;19.45261196;-99.17546153;19.45261196,-99.17546153;-99.17546153,19.45261196;
Portales;2;0;0;0;21;Cuatro Caminos;Tasqueña;19.36976784;-99.14130092;19.36976784,-99.14130092;-99.14130092,19.36976784;
Revolución;2;0;0;0;9;Cuatro Caminos;Tasqueña;19.43880248;-99.15389657;19.43880248,-99.15389657;-99.15389657,19.43880248;
San Antonio Abad;2;0;0;0;15;Cuatro Caminos;Tasqueña;19.4159055;-99.13429499;19.4159055,-99.13429499;-99.13429499,19.4159055;
San Cosme;2;0;0;0;8;Cuatro Caminos;Tasqueña;19.44185787;-99.16094542;19.44185787,-99.16094542;-99.16094542,19.44185787;
Tacuba;2;7;0;0;3;Cuatro Caminos;Tasqueña;19.458383;-99.188501;19.458383,-99.188501;-99.188501,19.458383;
Tasqueña;2;0;0;0;24;Cuatro Caminos;Tasqueña;19.34400644;-99.14105415;19.34400644,-99.14105415;-99.14105415,19.34400644;
Viaducto;2;0;0;0;17;Cuatro Caminos;Tasqueña;19.400746990000002;-99.13663387;19.40074699,-99.13663387;-99.13663387,19.400746990000002;
Villa de Cortés;2;0;0;0;19;Cuatro Caminos;Tasqueña;19.38746949;-99.13862944;19.38746949,-99.13862944;-99.13862944,19.38746949;
Xola;2;0;0;0;18;Cuatro Caminos;Tasqueña;19.3950293;-99.13758874;19.3950293,-99.13758874;-99.13758874,19.3950293;
Zócalo;2;0;0;0;13;Cuatro Caminos;Tasqueña;19.432602;-99.131879;19.432602,-99.131879;-99.131879,19.432602;
Balderas;3;1;0;0;9;Indios Verdes;Universidad;19.42692438;-99.1488111;19.42692438,-99.1488111;-99.1488111,19.42692438;
Centro Médico;3;9;0;0;12;Indios Verdes;Universidad;19.40636329;-99.15504456;19.40636329,-99.15504456;-99.15504456,19.40636329;
Copilco;3;0;0;0;20;Indios Verdes;Universidad;19.33597857;-99.17657733;19.33597857,-99.17657733;-99.17657733,19.33597857;
Coyoacán;3;0;0;0;17;Indios Verdes;Universidad;19.36142746;-99.17056918;19.36142746,-99.17056918;-99.17056918,19.36142746;
Deportivo 18 de Marzo;3;6;0;0;2;Indios Verdes;Universidad;19.48358544;-99.12576556;19.48358544,-99.12576556;-99.12576556,19.48358544;
División del Norte;3;0;0;0;15;Indios Verdes;Universidad;19.3789276;-99.15950775;19.3789276,-99.15950775;-99.15950775,19.3789276;
Etiopía / Plaza de la Transpatencia;3;0;0;0;13;Indios Verdes;Universidad;19.39604129;-99.15617108;19.39604129,-99.15617108;-99.15617108,19.39604129;
